Location,Period,Suicide_per_100000,Male,Female,PSEGDP,Old_Age,Survivors,Incapacity,Family,Labour,Unemployment,Housing,Health,Other,Total_GDP
United Kingdom of Great Britain and Northern Ireland,2003,7.9,11.9,4.1,18.746,5.191,0.214,2.193,2.796,0,0,0,6.341,0.171,5.55501E+11
United States of America,2003,11.7,18.6,5,15.8,5.134,0.777,0.986,0.8,0,0,0,6.597,0.55,1.33393E+13
Australia,2004,10.3,15.9,4.6,17.238,4.864,0.217,2.355,2.874,0.383,0.62,0.248,5.542,0.133,9.6464E+11
Austria,2004,17.5,27.1,8.4,26.329,10.445,2.072,2.495,2.963,0.585,1.179,0.131,6.118,0.341,3.59212E+11
Belgium,2004,20.2,29.6,11.2,25.444,6.983,2.006,2.12,2.611,0.631,3.247,0.058,6.994,0.794,4.36687E+11
Canada,2004,11.7,17.4,6.1,16.232,3.669,0.406,0.92,1.07,0.344,0.663,0.452,6.235,2.474,1.36569E+12
Chile,2004,10.1,17.4,3.1,9.289,2.964,0.904,0.74,0.977,0.229,0.049,0.462,2.724,0.24,5.0827E+11
Denmark,2004,14.2,19,9.6,25.119,8.091,0.009,4.39,3.575,1.64,0,0.694,5.717,1.003,1.71787E+11
Estonia,2004,26.5,46.9,8.9,13.306,5.44,0.103,1.786,1.838,0.062,0.163,0.046,3.73,0.138,3.17958E+12
Finland,2004,21.2,33.2,9.8,23.951,8.002,0.869,3.7,2.817,0.929,2.082,0.274,4.772,0.506,3.11348E+11
France,2004,19.5,28,11.5,28.862,10.447,1.701,1.805,3.003,0.951,1.792,0.815,8.008,0.341,1.30679E+12
Germany,2004,14,21.1,7.2,26.02,8.894,2.321,2.009,2.053,1.128,1.727,0.368,7.348,0.171,18273211940
Greece,2004,3.1,5.1,1.2,18.309,8.84,1.753,1.379,0.777,0.153,0.625,0.037,4.745,0,2.31518E+11
Hungary,2004,27.5,44.1,12.5,21.086,7.316,1.163,2.813,2.953,0.312,0.527,0.401,5.469,0.132,2.49532E+12
Iceland,2004,12.4,17.4,7.3,16.619,3.81,0.032,2.627,2.981,0.085,0.439,0.204,5.89,0.552,2.34067E+12
Ireland,2004,11.9,19.7,4.2,15.151,2.498,0.791,1.602,2.256,0.638,0.967,0.347,5.702,0.35,3.0252E+11
Israel,2004,6.1,9.7,2.7,15.868,4.622,0.76,2.443,1.951,0.179,0.38,0.189,4.341,1.003,1.27272E+11
Italy,2004,7.2,11,3.5,23.868,11.289,2.375,1.562,1.227,0.602,0.442,0.01,6.226,0.137,2.05737E+11
Japan,2004,24.1,35.5,13.2,16.845,7.832,1.215,0.701,0.684,0.221,0.29,0.059,5.666,0.176,12177177341
Korea,2004,25.4,34.6,16.1,5.536,1.179,0.227,0.494,0.182,0.103,0.159,0,2.489,0.702,1.83723E+11
Latvia,2004,26.8,47.2,9.5,13.069,5.813,0.293,1.435,1.239,0.124,0.421,0,3.504,0.168,2.14746E+12
Lithuania,2004,43.3,75.4,15.3,13.221,5.523,0.527,1.747,1.125,0.195,0.116,0,3.664,0.323,5.57954E+12
Luxembourg,2004,12.1,18.6,5.7,23.077,5.566,2.25,3.453,3.691,0.444,0.923,0,6.122,0.474,8.88085E+11
Mexico,2004,4,6.7,1.3,5.954,0.78,0.186,0.052,0.818,0.01,0,0,2.587,0.643,32516906558
Netherlands,2004,9.7,13.3,6.3,20.397,5.157,0.314,3.545,1.572,1.248,0,0,6.25,0.516,45708018252
New Zealand,2004,12.6,19.7,5.9,17.422,4.074,0.151,2.717,2.286,0.462,0,0,6.292,0.153,22088363817
Norway,2004,12.8,17.1,8.6,22.283,6.59,0.327,4.703,2.969,0.758,0,0,5.414,0.703,9.6057E+11
Poland,2004,17.6,30.9,5.1,21.248,9.483,2.181,3.079,1.23,0.343,0,0,3.975,0.155,7.74613E+11
Portugal,2004,10.6,16.5,5,21.675,8.246,1.509,2.212,1.164,0.647,0,0,6.607,0.19,3.9839E+11
Slovakia,2004,13.9,23.6,4.7,15.848,5.542,0.836,1.464,1.939,0.231,0,0,5.019,0.468,1.33385E+11
Slovenia,2004,28.7,42.2,15.8,21.551,9.677,0.371,2.293,1.935,0,0,0,5.83,0.631,3.67029E+11
Spain,2004,8.5,12.9,4.2,20.214,6.356,1.976,2.413,1.082,0,0,0,5.465,0.178,2.29158E+11
Sweden,2004,14.8,20.9,8.7,27.458,8.939,0.607,5.332,3.1,0,0,0,6.11,0.607,66656728458
Switzerland,2004,18.5,24.6,12.6,16.297,5.926,0.572,3.201,1.484,0,0,0,2.619,0.546,42290926202
Turkey,2004,3,4.5,1.6,10.053,4.641,1.23,0.212,0.233,0,0,0,3.556,0.126,4.41285E+11
United Kingdom of Great Britain and Northern Ireland,2004,8.2,12.2,4.3,19.323,5.338,0.198,2.176,2.88,0,0,0,6.676,0.173,6.09917E+11
United States of America,2004,11.9,18.6,5.4,15.665,5.1,0.749,1.007,0.745,0,0,0,6.714,0.544,1.38461E+13
Australia,2005,11.2,17.3,5.1,16.694,4.71,0.206,2.27,2.747,0.367,0.547,0.246,5.465,0.135,9.9555E+11
Austria,2005,17.2,26.4,8.6,25.952,10.356,1.999,2.41,2.888,0.602,1.106,0.119,6.119,0.353,3.67273E+11
Belgium,2005,20.7,30.3,11.4,25.311,7.02,1.974,2.1,2.586,0.65,3.223,0.065,6.897,0.795,4.46826E+11
Canada,2005,12.2,18.2,6.2,16.087,3.616,0.395,0.902,1.062,0.312,0.605,0.418,6.23,2.547,1.43391E+12
Chile,2005,9.7,16.3,3.2,8.871,2.86,0.852,0.703,0.836,0.216,0.035,0.542,2.592,0.234,5.24104E+11
Denmark,2005,14.8,20.3,9.5,25.195,8.234,0.009,4.429,3.5,1.526,0,0.688,5.835,0.974,1.81652E+11
Estonia,2005,22.6,39.2,8.2,12.84,5.264,0.104,1.755,1.74,0.068,0.107,0.028,3.654,0.119,3.20285E+12
Finland,2005,19.9,29.5,10.7,23.926,8.105,0.853,3.643,2.831,0.865,1.953,0.265,4.909,0.502,3.18623E+11
France,2005,19.1,27.7,11.1,28.825,10.611,1.728,1.8,2.934,0.897,1.675,0.79,8.038,0.351,1.35451E+12
Germany,2005,13.3,19.9,7,26.38,8.918,2.273,1.953,2.052,1.118,1.833,0.633,7.449,0.15,20007394086
Greece,2005,3.7,6,1.4,19.534,9.518,1.872,1.42,0.779,0.067,0.635,0.033,5.21,0,2.37954E+11
Hungary,2005,26.4,42.8,11.6,21.864,7.648,1.248,2.8,3,0.322,0.547,0.505,5.656,0.138,2.53682E+12
Iceland,2005,11.8,15.4,8.3,15.832,3.678,0.031,2.589,2.863,0.082,0.297,0.203,5.622,0.467,2.41509E+12
Ireland,2005,11.8,18.6,5.1,15.38,2.481,0.801,1.661,2.222,0.613,0.909,0.332,6.032,0.33,3.04332E+11
Israel,2005,6.7,9.8,3.8,15.386,4.52,0.683,2.454,1.812,0.175,0.346,0.205,4.269,0.921,1.32673E+11
Italy,2005,6.7,10.1,3.5,24.107,11.353,2.389,1.535,1.214,0.534,0.469,0.011,6.462,0.14,2.17465E+11
Japan,2005,24.3,35.9,13.2,17.103,8.015,1.231,0.67,0.715,0.083,0.27,0.082,5.861,0.175,12947992674
Korea,2005,26.7,35.5,17.9,5.881,1.273,0.236,0.516,0.223,0.107,0.183,0,2.634,0.71,1.90909E+11
Latvia,2005,26.5,45.9,10.2,12.266,5.36,0.257,1.354,1.243,0.212,0.369,0,3.267,0.138,2.16502E+12
Lithuania,2005,42.7,75.3,14.4,13.679,5.387,0.465,1.77,1.721,0.216,0.153,0,3.764,0.201,5.67231E+12
Luxembourg,2005,13.4,20.3,6.7,22.833,5.646,2.204,3.342,3.598,0.497,0.977,0,5.977,0.438,9.26349E+11
Mexico,2005,4.1,6.9,1.4,6.145,0.852,0.194,0.052,0.898,0.012,0,0,2.465,0.653,35031233307
Netherlands,2005,9.8,13.4,6.3,19.921,5.153,0.286,3.305,1.536,1.169,0,0,6.224,0.501,47158078488
New Zealand,2005,12.9,19.4,6.7,18.009,4.067,0.146,2.767,2.636,0.429,0,0,6.592,0.157,24457359898
Norway,2005,12.4,16.6,8.3,20.737,6.202,0.297,4.302,2.79,0.719,0,0,5.143,0.623,9.82738E+11
Poland,2005,17.7,31.2,5.1,20.896,9.245,2.121,2.897,1.208,0.422,0,0,3.988,0.357,7.905E+11
Portugal,2005,11.4,17.8,5.3,22.303,8.612,1.476,2.11,1.182,0.651,0,0,6.727,0.208,4.0885E+11
Slovakia,2005,13.7,24.1,3.9,15.334,5.552,0.832,1.424,1.502,0.33,0,0,4.96,0.473,1.37814E+11
Slovenia,2005,26.8,42.4,11.9,21.524,9.397,0.44,2.372,1.911,0,0,0,5.876,0.632,3.799E+11
Spain,2005,8,12.2,4,20.475,6.366,1.974,2.486,1.159,0,0,0,5.533,0.217,2.30949E+11
Sweden,2005,15.7,21.1,10.4,27.131,8.806,0.583,5.232,3.129,0,0,0,6.088,0.575,71071712348
Switzerland,2005,19,25.7,12.6,16.134,5.86,0.576,3.257,1.494,0,0,0,2.583,0.541,43897124009
Turkey,2005,2.8,4.2,1.5,10.087,4.853,1.218,0.214,0.266,0,0,0,3.348,0.118,4.539E+11
United Kingdom of Great Britain and Northern Ireland,2005,7.9,11.8,4.1,19.276,5.336,0.176,2.086,2.84,0,0,0,6.809,0.165,6.64763E+11
United States of America,2005,11.9,18.7,5.2,15.494,5.064,0.72,1.008,0.705,0,0,0,6.736,0.579,1.43325E+13
Australia,2006,10.6,16.1,5.2,15.713,4.142,0.194,2.187,2.584,0.33,0.484,0.207,5.457,0.126,1.02337E+12
Austria,2006,16.4,25.7,7.5,25.665,10.37,1.941,2.305,2.775,0.685,1.011,0.133,6.082,0.361,3.79958E+11
